state,population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,dual_religion,source_code
Cameroon,19929964,0.2351,0.2601,0,0,0,0.4952,0,0,0,0,0,0.214,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0,0.0019,0,0,0,0,0.2798,0.0073,0.0017,0.9983,0.9999,0,350
Canada,34500000,0.2298,0.4202,0.0228,0.0789,0.0144,0.7661,0.002,0.0035,0.0015,0.003,0.0099,0.0174,0.002,0,0,0,0,0,0.0194,0,0,0.0194,0.0194,0.0002,0.008,0.008,0,0.0005,0.0001,0.0001,0.0001,0.0008,0.0021,0.1643,0.001,0.999,1,0,26
Central African Republic,4502654,0.1842,0.2338,0,0,0.074,0.492,0,0,0,0,0,0.141,0.009,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.0022,0,0,0,0,0.34,0.0124,0.0033,0.9967,0.9999,0,1
Chad,11499083,0.1355,0.1463,0,0,0.0582,0.34,0,0,0,0,0,0.54,0.012,0,0,0,0,0,0.552,0,0,0.0002,0.0002,0,0,0,0,0.002,0,0,0,0.0003,0.1001,0.0025,0.003,0.997,1.0001,0,83
Chile,17077416,0.1061,0.7586,0.02,0,0.0281,0.9128,0,0,0,0.0012,0.0012,0,0,0,0,0,0,0.0003,0.0003,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0.0001,0.0088,0.06,0.0167,0.9833,1.0001,0,84
China,1345174272,0.038,0.008,0,0,0.012,0.058,0,0,0,0,0,0,0,0,0,0,0,0.025,0.025,0,0,0.126,0.126,0,0,0,0,0,0.0034,0,0,0.42,0.0399,0.325,0.0027,0.9973,1,0,83
Colombia,46295000,0.15,0.82,0.0001,0,0,0.9701,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0006,0.0006,0,0,0,0,0,0.0002,0,0,0.001,0,0,0,0,0.0088,0.015,0.0041,0.9959,1,0,99
Comoros,679961,0,0.0013,0,0,0,0.0013,0,0,0,0,0,0,0.9806,0,0,0,0,0,0.9806,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0.0147,0.0024,0.0002,0.9998,1.0001,0,83
Costa Rica,4450000,0.1019,0.78,0,0.0003,0,0.8822,0,0,0,0.0009,0.0009,0,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0,0.0001,0,0,0,0,0,0,0.0079,0.0003,0.1,0.0084,0.9916,1.0001,0,83
Croatia,4424161,0.0034,0.8628,0.0444,0,0.003,0.9137,0,0,0,0.0001,0.0001,0.0147,0,0,0,0,0,0,0.0147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565,0.015,0.985,1,0,124
Cyprus,813958,0,0.0178,0.7064,0.0058,0.0154,0.7453,0,0,0,0.0002,0.0002,0.2027,0,0,0,0,0,0,0.2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.0198,0.9802,1,0,102
Czech Republic,10535111,0.0166,0.1972,0,0,0,0.2138,0,0,0,0.0007,0.0007,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7575,0.0279,0.9721,1,0,119
Denmark,5539634,0.809,0.0069,0.0001,0,0.0012,0.8172,0,0,0,0.0004,0.0004,0.0388,0.0013,0,0,0,0,0,0.0401,0,0,0.0008,0.0008,0,0,0,0,0.0001,0,0,0,0,0.0001,0.1011,0.0402,0.9598,1,0,155
Djibouti,882943,0.0007,0.0069,0.0062,0,0,0.0139,0,0,0,0,0,0.975,0,0,0,0,0,0,0.975,0,0,0,0,0,0.0004,0,0,0.0009,0,0,0,0,0,0.0096,0.0002,0.9998,1,0,83
Dominican Republic,9956648,0.15,0.72,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.01,0.99,1,0,78
Ecuador,14209151,0.02,0.87,0,0,0.013,0.903,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0005,0.0005,0,0,0,0,0.0001,0,0,0,0,0.0025,0.085,0.0088,0.9912,1.0001,0,1
Egypt,81277560,0.015,0.0012,0.1,0,0.005,0.1212,0,0,0,0,0,0.86,0,0,0,0.0043,0,0,0.8643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0045,0.9955,1,0,83
El Salvador,7212288,0.276,0.585,0,0,0,0.861,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0.111,0.0238,0.9762,1,0,83
Estonia,1339974,0.1114,0.0041,0.1643,0,0.0038,0.2837,0,0,0,0.0013,0.0013,0.0015,0,0,0,0,0,0,0.0015,0,0,0.001,0.001,0,0.0003,0,0,0,0.0001,0,0,0.0001,0.0037,0.6903,0.018,0.982,1,0,136
Ethiopia,82278800,0.1805,0.007,0.4239,0,0.0043,0.6156,0,0,0,0.0001,0.0001,0.3392,0.0052,0,0,0,0,0,0.3444,0,0,0,0,0,0.0001,0,0,0.0003,0,0,0,0,0.0377,0.0013,0.0007,0.9993,1.0002,0,210
